// This file was decompiled using SASCM.ini published on 2021-01-30
DEFINE OBJECTS 127
DEFINE OBJECT SANNY BUILDER 3.7.0     
DEFINE OBJECT MICRO_UZI                // Object number -1
05A9: s$9408 = 'MCOPC03' // s$ 
gosub @COPCAR_3397 
0085: 142@ = 134@ // (int) 
gosub @COPCAR_3543 
0085: 143@ = 134@ // (int) 
gosub @COPCAR_3543 
0085: 144@ = 134@ // (int) 
gosub @COPCAR_3543 
0085: 145@ = 134@ // (int) 
Actor.StorePos(145@, 110@, 111@, 112@)
110@ += 7.0 
064B: 139@ = create_particle "SMOKE_FLARE" at 110@ 111@ 112@ type 1 
064C: make_particle 139@ visible 
jump @COPCAR_1164 

:COPCAR_1157
jump @COPCAR_475 

:COPCAR_1164
121@ = 0 
605@ = 0 

:COPCAR_1178
wait 0 
if 
  $9386 == 1 
jf @COPCAR_1353 
if 
test_cheat "NEX" 
jf @COPCAR_1353 
0085: 606@ = $9414 // (int) 
fade 0 2000 
wait 1000 
$9414 = 1 
wait 1000 
Marker.Disable(327@)
005A: 160@ += $9469 // (int) 
0085: $9469 = 160@ // (int) 
0085: $9416 = 161@ // (int) 
0085: $9384 = 113@ // (int) 
$9379 = 0 
121@ = 0 
126@ = 30 
0085: 100@ = $9415 // (int) 
100@ *= 5 
005A: 126@ += 100@ // (int) 
$9383 = 60 
005A: $9383 += $9415 // (int) 
jump @COPCAR_2381 

:COPCAR_1353
if 
  121@ == 0 
jf @COPCAR_1702 
0085: $9469 = $9385 // (int) 
if 
  $9416 > 0 
jf @COPCAR_2728 
if 
80E1:   not player 0 pressed_key 19 
jf @COPCAR_2651 
605@ = 0 
if 
00FE:   actor $PLAYER_ACTOR sphere 0 in_sphere 110@ 111@ 112@ radius 50.0 50.0 500.0 
jf @COPCAR_1702 
if 
   not Actor.Dead(142@)
jf @COPCAR_1702 
0085: 117@ = $9384 // (int) 
0085: 118@ = $9380 // (int) 
04F7: status_text $9470 type 1 line 3 GXT 'MCOPC01' // global_variable 
$9379 = 1 
$9384 = 1 
$9380 = 0 
Marker.CreateAboveActor(327@, 142@)
Marker.SetColor(327@, 1)
07E0: set_marker 327@ type_to 1 
Marker.Disable(140@)
0085: 161@ = $9416 // (int) 
0085: 160@ = $9469 // (int) 
05A9: s$9408 = 'MCOPC03' // s$ 
$9469 = 0 
$9416 = 360001 
121@ = 1 
0085: 127@ = $9385 // (int) 
018C: play_sound 1052 at 0.0 0.0 0.0 
018C: play_sound 1052 at 0.0 0.0 0.0 
018C: play_sound 1052 at 0.0 0.0 0.0 
01E5: show_text_1number_highpriority GXT 'MCOPC11' number 126@ time 5000 flag 1 

:COPCAR_1702
if 
  121@ == 1 
jf @COPCAR_2374 
if 
   Actor.Dead(142@)
jf @COPCAR_1932 
if 
  124@ > 0 
jf @COPCAR_1849 
05A9: s$9408 = 'MCOPC04' // s$ 
124@ -= 1 
018C: play_sound 1052 at 0.0 0.0 0.0 
018C: play_sound 1052 at 0.0 0.0 0.0 
018C: play_sound 1052 at 0.0 0.0 0.0 
jump @COPCAR_3026 
jump @COPCAR_1932 

:COPCAR_1849
05A9: s$9408 = 'MCOPC05' // s$ 
018C: play_sound 1052 at 0.0 0.0 0.0 
018C: play_sound 1052 at 0.0 0.0 0.0 
018C: play_sound 1052 at 0.0 0.0 0.0 
gosub @COPCAR_2753 
terminate_this_script 

:COPCAR_1932
100@ = Actor.Health(142@)
100@ /= 10 
0085: $9470 = 100@ // (int) 
if 
8104:   not actor $PLAYER_ACTOR near_actor 142@ radius 60.0 60.0 100.0 sphere 0 
jf @COPCAR_2081 
if 
  601@ == 0 
jf @COPCAR_2081 
$9379 = 0 
Marker.SetIconSize(327@, 5)
0843: get_zone_at 110@ 111@ 112@ nameA_to 130@s // 8-byte string 
0384: show_text_1string GXT 'MCOPC08' string 130@s time 7000 1 
601@ = 1 
0085: 602@ = $9416 // (int) 
$9416 = 60001 

:COPCAR_2081
if 
0104:   actor $PLAYER_ACTOR near_actor 142@ radius 70.0 70.0 100.0 sphere 0 
jf @COPCAR_2164 
if 
  601@ == 1 
jf @COPCAR_2164 
$9379 = 1 
Marker.SetIconSize(327@, 3)
601@ = 0 
0085: $9416 = 602@ // (int) 

:COPCAR_2164
if or
   not 601@ == 1 
  $9416 > 0 
jf @COPCAR_2728 
0085: $9469 = $9385 // (int) 
0062: $9469 -= 127@ // (int) 
if or
001D:   $9469 > 126@ // (int) 
   not $9416 >= 0 
jf @COPCAR_2374 
0085: 606@ = $9414 // (int) 
fade 0 2000 
wait 1000 
$9414 = 1 
wait 1000 
Marker.Disable(327@)
005A: 160@ += $9469 // (int) 
0085: $9469 = 160@ // (int) 
0085: $9416 = 161@ // (int) 
0085: $9384 = 113@ // (int) 
$9379 = 0 
121@ = 0 
126@ = 30 
0085: 100@ = $9415 // (int) 
100@ *= 5 
005A: 126@ += 100@ // (int) 
$9383 = 60 
005A: $9383 += $9415 // (int) 
Actor.Health($PLAYER_ACTOR) = 250
jump @COPCAR_2381 

:COPCAR_2374
jump @COPCAR_1178 

:COPCAR_2381
wait 0 
$9415 += 1 
0085: 100@ = $9415 // (int) 
0085: 101@ = $9415 // (int) 
100@ *= 30000 
101@ *= 3000 
if 
  $9386 == 0 
jf @COPCAR_2461 
01E3: show_text_1number_styled GXT 'C_PASS' number 101@ time 5000 style 5 

:COPCAR_2461
0085: $9406 = 101@ // (int) 
005A: 300@ += 101@ // (int) 
if and
  $9416 > 120000 
  100@ > 40000 
jf @COPCAR_2516 
100@ -= 10000 

:COPCAR_2516
005E: $9416 += 100@ // (int) 
100@ /= 1000 
01E3: show_text_1number_styled GXT 'A_TIME' number 100@ time 5000 style 4000 
Player.ClearWantedLevel($PLAYER_CHAR)
wait 1500 
if 
  $MISSION_VIGILANTE_PASSED == 0 
jf @COPCAR_3026 
if 
  $9415 >= 12 
jf @COPCAR_3026 
03E5: show_text_box 'C_COMP1' 
055F: set_player $PLAYER_CHAR max_armour += 50 
Actor.Armour($PLAYER_ACTOR) = 150
0595: mission_complete 
0394: play_music 2 
$MISSION_VIGILANTE_PASSED = 1 
$9463 += 1 
jump @COPCAR_3026 

:COPCAR_2651
605@ += 1 
00BC: show_text_highpriority GXT 'MCOPC10' time 200 flag 1 
if and
  605@ >= 60 
00E1:   player 0 pressed_key 19 
jf @COPCAR_1178 
00BC: show_text_highpriority GXT 'C_CANC' time 3000 flag 1 
wait 600 
gosub @COPCAR_2753 
terminate_this_script 

:COPCAR_2728
00BC: show_text_highpriority GXT 'C_TIME' time 3000 flag 1 
gosub @COPCAR_2753 
terminate_this_script 

:COPCAR_2753
0085: $9379 = 110@ // (int) 
0085: $9381 = 111@ // (int) 
0085: $9380 = 112@ // (int) 
0085: $9384 = 113@ // (int) 
0085: $9383 = 114@ // (int) 
0085: $9391 = 115@ // (int) 
06B2: destroy_searchlight 263@ 
064E: stop_particle 139@ 
0650: destroy_particle 139@ 
$9392 = 0 
Actor.StorePos(142@, 10@, 11@, 12@)
if 
00C2:   sphere_onscreen 10@ 11@ 12@ radius 5.0 
jf @COPCAR_2883 
fade 0 1000 
wait 1000 
fade 1 2000 

:COPCAR_2883
if 
   Actor.InCar($PLAYER_ACTOR, 141@)
jf @COPCAR_2907 
0792: disembark_instantly_actor $PLAYER_ACTOR 

:COPCAR_2907
Marker.Disable(140@)
Marker.Disable(327@)
Car.Destroy(141@)
Model.Destroy(180@)
Model.Destroy(181@)
Model.Destroy(182@)
Car.RemoveReferences(141@)
Car.Destroy(145@)
Actor.DestroyInstantly(142@)
Actor.DestroyInstantly(143@)
Actor.DestroyInstantly(144@)
Actor.DestroyInstantly(145@)
014F: stop_timer $9416 
0151: remove_status_text $9415 
0151: remove_status_text $9469 
0151: remove_status_text $9470 
03DE: set_pedestrians_density_multiplier_to 0.0 
01EB: set_traffic_density_multiplier_to 0.0 
mission_cleanup 
01EB: set_traffic_density_multiplier_to 0.0 
03DE: set_pedestrians_density_multiplier_to 0.0 
$ONMISSION = 0 
return 

:COPCAR_3026
$9379 = 0 
$9384 = 0 
Marker.Disable(327@)
Marker.Disable(140@)
Model.Destroy(180@)
Model.Destroy(181@)
Model.Destroy(182@)
064E: stop_particle 139@ 
0650: destroy_particle 139@ 
0085: $9414 = 606@ // (int) 
if 
   not Actor.Dead(142@)
jf @COPCAR_3155 
if 
   Actor.InCar($PLAYER_ACTOR, 141@)
jf @COPCAR_3123 
0792: disembark_instantly_actor $PLAYER_ACTOR 

:COPCAR_3123
Car.Destroy(141@)
Actor.DestroyInstantly(142@)
Actor.DestroyInstantly(143@)
Actor.DestroyInstantly(144@)
Actor.DestroyInstantly(145@)
jump @COPCAR_3353 

:COPCAR_3155
Car.RemoveReferences(141@)
wait 0 
0085: $9382 = 143@ // (int) 
wait 0 
0085: $9382 = 144@ // (int) 
wait 0 
0085: $9382 = 145@ // (int) 
if 
051A:   actor 142@ damaged_by_actor $PLAYER_ACTOR 
jf @COPCAR_3285 
start_new_script @NONAME_2 143@ 1 4 -10 -1 0 
start_new_script @NONAME_2 144@ 1 4 -10 -1 0 
start_new_script @NONAME_2 145@ 1 4 -10 -1 0 
jump @COPCAR_3348 

:COPCAR_3285
start_new_script @NONAME_2 143@ 1 4 -15 -1 0 
start_new_script @NONAME_2 144@ 1 4 -15 -1 0 
start_new_script @NONAME_2 145@ 1 4 -15 -1 0 

:COPCAR_3348
Actor.RemoveReferences(142@)

:COPCAR_3353
Player.ClearWantedLevel($PLAYER_CHAR)
014F: stop_timer $9416 
0151: remove_status_text $9415 
0151: remove_status_text $9469 
0151: remove_status_text $9470 
fade 1 1200 
wait 1000 
jump @COPCAR_272 

:COPCAR_3397
0208: 106@ = random_float_in_ranges -5.0 5.0 
0085: 116@ = 110@ // (int) 
005B: 116@ += 106@ // (float) 
0208: 106@ = random_float_in_ranges -5.0 5.0 
0085: 117@ = 111@ // (int) 
005B: 117@ += 106@ // (float) 
Actor.Create(134@, PedType.Mission3, 180@, 116@, 117@, 112@)
081A: set_actor 134@ weapon_skill_to 1 
Actor.GiveWeaponAndAmmo(134@, 183@, 99999)
Actor.WeaponAccuracy(134@) = 50
0446: set_actor 134@ dismemberment_possible 0 
start_new_script @NONAME_2 134@ 0 1 -15 -1 0 
Actor.Health(134@) = 1000
return 

:COPCAR_3543
0208: 106@ = random_float_in_ranges -5.0 5.0 
0085: 116@ = 110@ // (int) 
005B: 116@ += 106@ // (float) 
0208: 106@ = random_float_in_ranges -5.0 5.0 
0085: 117@ = 111@ // (int) 
005B: 117@ += 106@ // (float) 
Actor.Create(134@, PedType.Mission3, 181@, 116@, 117@, 112@)
Actor.Health(134@) = 400
081A: set_actor 134@ weapon_skill_to 1 
Actor.GiveWeaponAndAmmo(134@, 185@, 99999)
Actor.WeaponAccuracy(134@) = 40
0446: set_actor 134@ dismemberment_possible 0 
start_new_script @NONAME_2 134@ 0 4 -15 142@ 0 
return 

:COPCAR_3690
0209: 112@ = random_int_in_ranges 0 10 
if 
   not 112@ > 0 
jf @COPCAR_3754 
180@ = -24 
181@ = -16 
182@ = -30 
183@ = 29 
185@ = 29 
return 

:COPCAR_3754
if 
  112@ == 2 
jf @COPCAR_3809 
180@ = -50 
181@ = -40 
182@ = -70 
183@ = 24 
185@ = 28 
return 

:COPCAR_3809
if 
  112@ == 3 
jf @COPCAR_3864 
180@ = -107 
181@ = -24 
182@ = -23 
183@ = 22 
185@ = 27 
return 

:COPCAR_3864
if 
  112@ == 4 
jf @COPCAR_3919 
180@ = -51 
181@ = -18 
182@ = -29 
183@ = 24 
185@ = 31 
return 

:COPCAR_3919
if 
  112@ == 5 
jf @COPCAR_3974 
180@ = -108 
181@ = -109 
182@ = -110 
183@ = 22 
185@ = 32 
return 

:COPCAR_3974
if 
  112@ == 6 
jf @COPCAR_4029 
180@ = -111 
181@ = -112 
182@ = -113 
183@ = 22 
185@ = 27 
return 

:COPCAR_4029
if 
  112@ == 7 
jf @COPCAR_4084 
180@ = -114 
181@ = -41 
182@ = -115 
183@ = 22 
185@ = 31 
return 

:COPCAR_4084
if 
  112@ == 8 
jf @COPCAR_4139 
180@ = -37 
181@ = -36 
182@ = -61 
183@ = 27 
185@ = 29 
return 

:COPCAR_4139
180@ = -114 
181@ = -41 
182@ = -115 
183@ = 22 
185@ = 31 
return 
if 
  112@ >= 9 
jf @COPCAR_4235 
0209: 180@ = random_int_in_ranges 18 26 
0209: 181@ = random_int_in_ranges 18 26 
182@ = -25 
183@ = 22 
185@ = 30 
return 

:COPCAR_4235
return 
terminate_this_script 
script_name 'HELLOWORLD' 
gosub @HELLOWORLD_48 
if 
wasted_or_busted 
jf @HELLOWORLD_46 
gosub @HELLOWORLD_456 

:HELLOWORLD_46
terminate_this_script 

:HELLOWORLD_48
increment_mission_attempts 
060A: create_decision_maker_type 0 store_to 202@ // decision\allowed\m_.ped files 
$ONMISSION = 1 
200@ = 0 
$9381 = 0 
$9379 = 0 
$9392 = 0 
$9380 = 0 
$9388 = 0 
$9387 = 0 
$9383 = 0 
$9384 = 0 
set_weather 24 
fade 0 0 
Model.Load(#ARMY)
Model.Load(#SWAT)
Model.Load(#M4)

:HELLOWORLD_149
if and
   Model.Available(#ARMY)
   Model.Available(#SWAT)
   Model.Available(#M4)
jf @HELLOWORLD_179 
jump @HELLOWORLD_186 

:HELLOWORLD_179
jump @HELLOWORLD_149 

:HELLOWORLD_186
fade 1 1200 
Marker.Disable(201@)
018A: 201@ = create_checkpoint_at 0.0 0.0 0.0 

:HELLOWORLD_218
wait 0 
if and
  200@ == 1 
00FE:   actor $PLAYER_ACTOR sphere 1 in_sphere 0.0 0.0 0.0 radius 1.0 1.0 3.0 
jf @HELLOWORLD_420 
Marker.Disable(201@)
wait 2000 
Car.Create(454@, -23, 0.0, 5.0, 0.0)
Car.Health(454@) = 3000
Car.Angle(454@) = 90.0
Actor.Create(324@, PedType.Mission3, -16, 0.0, 3.0, 0.0)
0085: 1@ = 324@ // (int) 
gosub @HELLOWORLD_532 
Actor.Health(324@) = 3000
Actor.GiveWeaponAndAmmo(324@, WeaponType.M4, 5000)
Actor.Angle(324@) = 270.0
wait 2000 
Car.RemoveReferences(454@)
gosub @HELLOWORLD_456 
terminate_this_script 
200@ += 1 

:HELLOWORLD_420
jump @HELLOWORLD_218 
gosub @HELLOWORLD_48 
if 
wasted_or_busted 
jf @HELLOWORLD_454 
gosub @HELLOWORLD_456 

:HELLOWORLD_454
terminate_this_script 

:HELLOWORLD_456
$9381 = 1 
$9379 = 0 
$9380 = 0 
$9388 = 0 
$9392 = 0 
$9387 = 0 
$9384 = 0 
$9383 = 50 
set_weather 0 
Marker.Disable(201@)
mission_cleanup 
$ONMISSION = 0 
return 

:HELLOWORLD_532
081A: set_actor 1@ weapon_skill_to 1 
Actor.WeaponAccuracy(1@) = 80
start_new_script @NONAME_2 1@ 2 4 -15 $PLAYER_ACTOR 0 
Actor.Health(1@) = 1500
return 
081A: set_actor 1@ weapon_skill_to 1 
Actor.WeaponAccuracy(1@) = 40
start_new_script @NONAME_2 1@ 2 4 -1 0 
Actor.Health(1@) = 150
return 
081A: set_actor 1@ weapon_skill_to 1 
Actor.WeaponAccuracy(1@) = 40
start_new_script @NONAME_2 1@ 2 1 -15 -1 0 
Actor.Health(1@) = 150
return 
081A: set_actor 1@ weapon_skill_to 1 
Actor.WeaponAccuracy(1@) = 40
start_new_script @NONAME_2 1@ 2 4 -15 -1 0 
Actor.Health(1@) = 550
return 
081A: set_actor 1@ weapon_skill_to 1 
Actor.WeaponAccuracy(1@) = 40
start_new_script @NONAME_2 1@ 2 4 -1 0 
Actor.Health(1@) = 150
return 
$9380 = 1 
$9382 = 0 
$9384 = 1 
$9381 = 0 
$9383 = 27 
$9391 = 1 
$ONMISSION = 1 
$9379 = 1 
$9388 = 1 
$9387 = 0 
$9389 = 0 
$9376 = 0 
$9377 = 0 
$9378 = 0 
  $9385 == 1 
0085: $9382 = $ACTOR_SWEET // (int) 
$9414 = 1 
$9415 = 0 
$9416 = 0 
start_new_script @NONAME_2 -1 0 4 -20 -1 0 
start_new_script @AISET_Z -1 1 
add_text_label "DW0001" "[VOVO] CREATE.(JACK, LUIS, MIKE) AT PLAYER.POINT(GETAROUND)" 
05A9: s$9408 = 'DW0001' // s$ 
05A9: s$9412 = 'LOAD_1' // s$ 

//-------------Mission 3---------------
// Originally: Video Game: They Crawled From Uranus

:MAP_CM11
script_name 'MAP_CM11' 
0000: NOP 
gosub @MAP_CM11_1026 
if 
wasted_or_busted 
jf @MAP_CM11_48 
gosub @MAP_CM11_6668 

:MAP_CM11_48
terminate_this_script 
increment_mission_attempts 
$ONMISSION = 1 
add_text_label "LOAD_1" "~R~(O)LOADING... ~W~MAP.SASF.M1" 
add_text_label "LOAD_2" "~Y~[SYSTEM]: GAME MODE HAS RESETED TO []" 
add_text_label "SAYS_1" "[NICK]: OH, SHIT, HOW MANY ZOMBIE?" 
add_text_label "SAYS_2" "[EDILZ]: I DON'T KNOW." 
add_text_label "SAYS_3" "[EDILZ]: ANYWAY, DO KILL THEY SAY!" 
add_text_label "SAYS_4" "[CJ]: OH!NO! YOU CANNOT DIE! " 
add_text_label "SAYS_5" "~R~[!]~W~ THEY COMING!" 
add_text_label "SAYS_6" "~R~[!]~W~ OK! THE DOORS HAVE BEEN DESTROYED! GO GO GO!!" 
add_text_label "SAYS_7" "~R~[!]~W~~R~ GO TO THE GOLDEN GATE BRIDGE!" 
add_text_label "SAYS_8" "~R~[!]~W~~Y~ GO ACROSS THE BRIDGE." 
add_text_label "SAYS_9" "~R~[!]~W~~Y~ GO BELOW." 
add_text_label "SAYS_10" "~R~[!]~W~~Y~ GO TO THE RESCUE POINT!" 
add_text_label "SAYS_11" "~R~[!]~W~~R~ WAIT FOR RESCUE!" 
add_text_label "SAYS_12" "~R~[!]~W~~Y~ AID HELI HAS ARRIVED, HURRY UP!" 
add_text_label "SAYS_14" "~R~[!]~W~ ~Y~GO TO THE RESCUE SITE IMMEDIATELY!." 
add_text_label "SAY_1" "MAP MODE" 
add_text_label "SAY_2" "STORY" 
add_text_label "SAY_3" "PLAYER KILL" 
add_text_label "SAY_4" "VS" 
add_text_label "SAY_5" "YOU SELECT IS ~Y~STORY MODE" 
add_text_label "SAY_6" "YOU SELECT IS ~Y~PLAYER MODE" 
add_text_label "SAY_121" "~R~1" 
add_text_label "SAY_122" "~R~2" 
add_text_label "SAY_123" "~G~3" 
add_text_label "SAY_124" "~Y~4" 
add_text_label "SAY_125" "~Y~5" 
add_text_label "SAY_12G" "~R~MISSION START" 

:MAP_CM11_1026
0085: 900@ = $9385 // (int) 
0085: 901@ = $9381 // (int) 
0085: 902@ = $9383 // (int) 
0085: 903@ = $9379 // (int) 
0085: 904@ = $9391 // (int) 
0085: 905@ = $9387 // (int) 
$9385 = 0 
$ONMISSION = 1 
$9381 = 0 
$9383 = 70 
$9379 = 1 
$9391 = 1 
$9392 = 100 
fade 0 0 
wait 200 
00BE: text_clear_all 
03E6: remove_text_box 
0581: enable_radar 0 
0826: enable_hud 0 
add_text_label "SAY_1" "MAP MODE" 
add_text_label "SAY_2" "STORY" 
add_text_label "SAY_3" "PLAYER KILL" 
add_text_label "SAY_4" "VS" 
add_text_label "SAY_5" "YOU SELECT IS ~Y~STORY MODE" 
add_text_label "SAY_6" "YOU SELECT IS ~Y~PLAYER MODE" 
add_text_label "SAY_121" "~R~1" 
add_text_label "SAY_122" "~R~2" 
add_text_label "SAY_123" "~G~3" 
add_text_label "SAY_124" "~Y~4" 
add_text_label "SAY_125" "~Y~5" 
Camera.SetPosition(-2575.587, 1348.93, 64.8309, 0.0, 0.0, 0.0)
Camera.PointAt(-2636.071, 1492.693, 53.5023, 2)
Model.Load(#AK47)
Model.Load(#SHOTGSPA)
Model.Load(#M4)
Model.Load(#DESERT_EAGLE)
Model.Load(#MP5LNG)
Model.Load(#SWAT)

:MAP_CM11_1453
wait 0 
if and
   Model.Available(#AK47)
   Model.Available(#SHOTGSPA)
   Model.Available(#M4)
   Model.Available(#DESERT_EAGLE)
   Model.Available(#MP5LNG)
   Model.Available(#SWAT)
jf @MAP_CM11_1453 
$9387 = 1 
Actor.PutAt($PLAYER_ACTOR, -2611.103, 1395.118, 6.1016)
Actor.Angle($PLAYER_ACTOR) = 180.0
05A9: s$9412 = 'LOAD_1' // s$ 
start_new_script @SHOW_GXT 8000 0 0.5 1.2 120.0 20.0 
wait 1500 
05A9: s$9408 = 'LOAD_2' // s$ 
wait 200 
Actor.Create(200@, PedType.Mission3, -16, -2613.955, 1394.072, 6.1016)
Actor.Health(200@) = 100000
0085: 236@ = 200@ // (int) 
gosub @MAP_CM11_2862 
Actor.Create(201@, PedType.Mission3, -16, -2620.394, 1392.513, 6.1016)
Actor.Health(201@) = 100000
0085: 236@ = 201@ // (int) 
gosub @MAP_CM11_2862 
Actor.Create(202@, PedType.Mission3, -16, -2617.187, 1393.425, 6.1016)
Actor.Health(202@) = 100000
0085: 236@ = 202@ // (int) 
gosub @MAP_CM11_2862 
Actor.Create(203@, PedType.Mission3, -16, -2624.955, 1394.072, 6.1016)
Actor.Health(203@) = 100000
0085: 236@ = 203@ // (int) 
gosub @MAP_CM11_2862 
Actor.Create(204@, PedType.Mission3, -16, -2627.394, 1392.513, 6.1016)
Actor.Health(204@) = 100000
0085: 236@ = 204@ // (int) 
gosub @MAP_CM11_2862 
fade 1 2000 
wait 3000 
0925: restore_camera_to_user_defined 
Camera.Restore_WithJumpCut
032B: 100@ = create_weapon_pickup #M4 type 15 ammo 1500 at -2607.564 1388.589 7.1489 
032B: 101@ = create_weapon_pickup #SHOTGSPA type 15 ammo 1090 at -2607.564 1390.589 7.1489 
032B: 103@ = create_weapon_pickup #KATANA type 15 ammo 1000 at -2607.564 1394.589 7.1489 
048F: actor $PLAYER_ACTOR remove_weapons 
Actor.GiveWeaponAndAmmo($PLAYER_ACTOR, WeaponType.Pistol, 100)
Actor.GiveWeaponAndAmmo(200@, WeaponType.Ak47, 9999)
Actor.GiveWeaponAndAmmo(201@, WeaponType.Mp5, 9999)
Actor.GiveWeaponAndAmmo(202@, WeaponType.M4, 9999)
Actor.GiveWeaponAndAmmo(203@, WeaponType.M4, 9999)
Actor.GiveWeaponAndAmmo(204@, WeaponType.M4, 9999)
Actor.Health($PLAYER_ACTOR) = 250
$9381 = 1 
Object.Init(170@, 975, -2666.303, 1276.236, 57.4297)
Object.Angle(170@) = 0.0
Object.Init(171@, 975, -2677.306, 1276.236, 57.4297)
Object.Angle(171@) = 0.0
Object.Init(172@, 975, -2686.23, 1276.236, 57.4297)
Object.Angle(172@) = 0.0
Object.Init(173@, 975, -2696.325, 1276.236, 57.4297)
Object.Angle(173@) = 0.0
Object.Init(174@, 975, -2666.303, 1276.236, 55.4297)
Object.Angle(174@) = 0.0
Object.Init(175@, 975, -2677.306, 1276.236, 55.4297)
Object.Angle(175@) = 0.0
Object.Init(176@, 975, -2686.23, 1276.236, 55.4297)
Object.Angle(176@) = 0.0
Object.Init(177@, 975, -2696.325, 1276.236, 55.4297)
Object.Angle(177@) = 0.0
$9376 = 0 
wait 10 
05A9: s$9412 = 'SAYS_7' // s$ 
start_new_script @3DTEXT -2681.691 1268.594 56.9456 0 -1 
Marker.Disable(480@)
Marker.CreateIconWithoutSphere(480@, 0, -2681.691, 1268.594, 56.9456)
Marker.SetIconSize(480@, 3)
wait 10 
05A9: s$9412 = '_NPT' // s$ 
850@ = 0 
851@ = 0 
852@ = 0 
853@ = 0 
854@ = 0 
855@ = 0 
856@ = 0 
857@ = 0 
858@ = 0 
859@ = 0 
860@ = 0 
0581: enable_radar 1 
0826: enable_hud 1 
$9387 = 1 
Actor.LockInCurrentPosition($PLAYER_ACTOR, True)
00BA: show_text_styled GXT 'SAY_125' time 1100 style 4 
018C: play_sound 1056 at 0.0 0.0 0.0 
wait 1000 
00BA: show_text_styled GXT 'SAY_124' time 1100 style 4 
018C: play_sound 1056 at 0.0 0.0 0.0 
wait 1000 
00BA: show_text_styled GXT 'SAY_123' time 1100 style 4 
018C: play_sound 1056 at 0.0 0.0 0.0 
wait 1000 
00BA: show_text_styled GXT 'SAY_122' time 1100 style 4 
018C: play_sound 1056 at 0.0 0.0 0.0 
wait 1000 
00BA: show_text_styled GXT 'SAY_121' time 1100 style 4 
018C: play_sound 1056 at 0.0 0.0 0.0 
wait 1000 
00BA: show_text_styled GXT 'SAY_12G' time 1100 style 4 
018C: play_sound 1056 at 0.0 0.0 0.0 
$9387 = 0 
Actor.LockInCurrentPosition($PLAYER_ACTOR, False)
start_new_script @NONAME_2 200@ 0 4 -15 -1 -2 
start_new_script @NONAME_2 201@ 0 4 -15 -1 -2 
start_new_script @NONAME_2 202@ 0 4 -15 -1 -2 
start_new_script @NONAME_2 203@ 0 4 -15 -1 -2 
start_new_script @NONAME_2 204@ 0 4 -15 -1 -2 
$9384 = 0 
jump @MAP_CM11_3013 

:MAP_CM11_2862
081A: set_actor 236@ weapon_skill_to 2 
0446: set_actor 236@ dismemberment_possible 0 
Actor.WeaponAccuracy(236@) = 96
return 
081A: set_actor 236@ weapon_skill_to 2 
0446: set_actor 236@ dismemberment_possible 0 
Actor.WeaponAccuracy(236@) = 96
return 

:MAP_CM11_2908
if 
   not Actor.Dead(236@)
return_if_false 
if 
8104:   not actor $PLAYER_ACTOR near_actor 236@ radius 50.0 50.0 50.0 sphere 0 
return_if_false 
0792: disembark_instantly_actor 236@ 
0208: 13@ = random_float_in_ranges -7.0 7.0 
04C4: store_coords_to 10@ 11@ 12@ from_actor $PLAYER_ACTOR with_offset 13@ -10.0 -1.2 
Actor.PutAt(236@, 10@, 11@, 12@)
return 

:MAP_CM11_3013
wait 0 
if or
   Actor.Dead(200@)
   Actor.Dead(201@)
   Actor.Dead(202@)
jf @MAP_CM11_3082 
if 
  854@ == 0 
jf @MAP_CM11_3082 
854@ = 1 
05A9: s$9408 = 'SAYS_4' // s$ 

:MAP_CM11_3082
0085: 236@ = 200@ // (int) 
gosub @MAP_CM11_2908 
0085: 236@ = 201@ // (int) 
gosub @MAP_CM11_2908 
0085: 236@ = 202@ // (int) 
gosub @MAP_CM11_2908 
0085: 236@ = 203@ // (int) 
gosub @MAP_CM11_2908 
0085: 236@ = 204@ // (int) 
gosub @MAP_CM11_2908 
if 
  852@ == 0 
jf @MAP_CM11_3290 
if or
00FE:   actor $PLAYER_ACTOR sphere 0 in_sphere -2698.431 1285.051 55.8125 radius 6.0 6.0 5.0 
00FE:   actor $PLAYER_ACTOR sphere 0 in_sphere -2662.554 1282.845 55.8125 radius 6.0 6.0 5.0 
